Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
India,0.8318343505949437,0.04471204057569239,0.10291186267595151,0.00557635941740668,0.0058247745421365045,0.0019961942333208047,0.0012321537729472968,0.00487908390714162,0.00043183195358237125,5.065461851344406e-05,0.00022716600699998653,0.0002446460284980682,3.923700873971172e-05,1.8367262866793894e-08,1.7578608557093254e-05,6.526944164346129e-07,1.146310979806795e-05,1.4025008004434997e-06,7.308952318824187e-06,4.808380816001118e-07,1.831018477107451e-08,3.0101364810696904e-08,2.7334820903575624e-07,2.6057293617203e-08,1.303970165477946e-07,8.75551334453394e-08,5.5068624729043184e-08,8.241629253055886e-08,3.6338771317921795e-08
Indonesia,0.3920177332436174,0.043004401964061294,0.058819555890873204,0.0029186491062269657,0.0008959301094226759,0.001021562031039916,0.017852421231838323,0.16654911372472794,0.08789194375792775,0.024534706168270495,0.0013522111172531253,0.009258532264546532,0.09142885196253561,0.07411408255285559,0.009183742104558282,0.011908696271847907,0.0010659143152599948,0.000379784539815561,0.0023590499504528117,0.000596013117620301,0.0011074556996845428,0.0002077541509360942,0.001204424840172391,7.596875658165066e-05,1.4909914559632889e-05,3.666091666740594e-05,0.00019061413951129046,7.228500386526987e-06,2.087656748874355e-06
Iran,0.9191929226030944,0.02871941485886124,0.0036895425102894163,0.020809099853475132,0.0006228157268929856,0.002228756075993778,0.00017526245408974682,0.0007851902675027535,0.0034614597731481324,0.00021073726375394177,0.009325546618649162,0.002156086496014377,0.0031249316252601805,0.0003026770967807493,9.413906949021493e-05,1.8950361572174965e-08,1.9969532380634757e-07,3.346234015466493e-05,0.0007090031498386028,2.3314666404217813e-05,0.0027926338859929614,0.00015628266992912844,0.0011174460354266738,7.4714710664812335e-06,3.847354282772767e-06,0.00018389343627247607,5.8849689336244084e-05,1.0626679133764414e-05,4.36768318038909e-06
Iraq,0.9866375961098153,0.00013360369322983176,0.002452899509350393,0.0015015581638642302,0.003171780002912887,0.0002749894524732319,0.0006175271844516127,0.0012936031579473307,0.0008044399604156668,4.311527817036233e-05,0.0010068932938921689,0.00011786781893804634,4.3478746803014e-05,0.00011593966515167198,0.0004153477045685997,0.0003756736387476869,5.335831550449851e-05,1.9867231588644232e-07,1.8190823131219145e-06,0.0005050024526908957,9.766494129393499e-05,0.0001366250146091428,3.622575529957835e-05,1.578828712203882e-06,5.5558235271525825e-05,3.145749525801648e-05,6.66500686029505e-05,7.017632884934048e-06,5.301245112917087e-07
Ireland,0.9975857499848841,0.00038202275620945425,0.001288763139190894,9.24083598497805e-06,0.0006946312788328802,1.939260675002049e-07,1.9691618910159954e-05,1.5593206696753618e-06,2.2723182696117906e-06,1.8874390276509335e-06,4.66549883007581e-06,8.578716257059839e-07,5.32287736824405e-09,2.6013511447341444e-10,9.638257125617592e-10,6.301121006233446e-09,1.508532532241273e-07,1.5945919500617273e-06,2.0229540405821616e-06,1.5491186802641029e-06,7.408692032251053e-07,4.4925228104608185e-08,1.3109199262497569e-06,9.472405427268283e-08,4.127815612499153e-07,1.5310974342700301e-07,2.3037172488569936e-07,1.4358729095714084e-07,2.356881517283087e-09
Israel,0.9976075133615421,0.00030961667719457453,0.001318845103484759,5.438901337155149e-06,0.000603726983250056,2.85401612436419e-09,3.505093315544736e-05,3.792834408121832e-06,2.7437723131687893e-05,3.085300591754942e-05,1.258310965695061e-05,8.091443552210156e-06,1.5936190883628268e-05,1.8184704050622348e-06,2.6226143667322235e-06,1.1198723679853154e-06,5.640681621090131e-09,6.529542653763415e-06,3.087333991080229e-08,1.933394044681405e-06,1.6646609732401036e-07,1.2434965604102804e-06,2.9251255539359257e-06,2.178409851667892e-06,3.741289223809765e-07,2.5710856084314093e-09,1.1553189847758153e-07,4.371100542212158e-11,4.4696929071317865e-08
Italy,0.8773179152246425,0.0761706550231801,0.005183904358089675,0.02612450453449003,1.5004432402783959e-05,5.190130485778175e-05,0.0003944428871400253,2.4859789262085917e-10,0.00034806169780556706,0.012433750055669239,5.5908169581741e-06,0.00012418774233365567,4.511002430071135e-05,7.725080129924758e-05,1.8469986698194235e-05,1.3940921169481504e-05,1.526530211425762e-05,8.467555148867784e-05,7.493461958386384e-05,1.298082522585939e-06,3.392806560285036e-05,9.068587216716548e-05,0.0008576480814576822,7.472989217570081e-05,0.00021525237335884555,6.805626193083561e-05,9.276637343204746e-05,6.479134260074667e-05,1.2781219296828084e-06
Jamaica,0.9975098525997433,0.0006448062008009202,0.0011339109764213532,3.58551836784578e-05,0.0006240899476972669,1.94963426550611e-05,5.8960630530404965e-06,4.6708409536775375e-06,4.07198323768107e-06,2.9024316663762584e-07,2.565406814864477e-06,2.1938449680362963e-06,4.4523926210582515e-06,1.872926943956146e-07,1.7759457663682262e-12,8.535686070028732e-08,3.737819849578503e-08,2.9315956530128184e-06,2.6723947429109294e-09,1.1966520404284343e-06,1.597038888597431e-07,3.4278815334194873e-08,1.2508887957770929e-06,1.0531065395288395e-06,2.5406456173172016e-09,1.3618961343358844e-07,5.452658490136857e-07,2.164475672971565e-07,8.602856064106984e-09
Japan,0.5531118507448202,0.31887647970931304,0.0016294241166663727,0.009537794432710913,0.0093248456829955,0.00827112618876333,0.00708677833038422,0.0014268233127994162,0.002483458052047675,0.028551870146527707,0.01077768393308921,0.01952803352286106,0.019156299316908112,0.0012998650291693474,0.00029350924879004717,0.00022517864464972857,9.177128472381463e-06,0.0001284403360632591,3.523005185810524e-05,0.00047427408212317366,0.004593305854656701,7.410172962038756e-05,0.002236497117400379,0.0007377734525242977,4.2656124614886836e-05,8.412121109205459e-06,3.93404040360973e-05,3.6979508028739614e-05,2.791676996619803e-06
Jordan,0.9971774148389672,0.0005894504045349686,0.0013181217852636948,1.202806208391987e-05,0.000697228362261731,2.8676247243584794e-06,2.622365258087905e-07,4.806213926958158e-05,3.885540827712745e-05,2.047396965598289e-06,4.151617900323616e-05,1.0050673933624913e-05,2.4458507685430734e-06,1.5025610150836589e-06,8.978122645363084e-06,2.2311652910764367e-05,1.1096926159662405e-07,1.1036354444748578e-06,7.514797826426318e-08,9.692599532487892e-06,7.109411936577683e-08,7.353959276885418e-06,3.15502056200576e-07,3.1525885764282396e-07,1.7794541684333144e-06,4.617177872537769e-06,1.2964749932718963e-06,1.1601849366302076e-07,9.4087947941224e-09
