Factor de risc,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Alcohol use,-0.1250320585274691,0.1263338467142447,0.024519609131631245,-0.15696816717415488,-0.25516841039041555,-0.21135523679318735,-0.09218392528220039,-0.23133964155296802,0.32225169507757934,-0.005088529377098422,-0.4907572706329289,-0.06051417394833224,-0.051859115871694096,-0.23149198711244848,0.2070909132283355,0.1851031254866385,-0.060761923813136415,-0.027948439861697854,0.16042532291928216,-0.030881751086240597,0.10295538453670663,0.3861673866875984,0.13008637974067336,-0.07916108374338957,0.09364270195040596,0.2241703891626866,0.0713238974368756,0.1057466814814357,-0.014012749321183203
Drug use,-0.04922898114785112,-0.07025239194545586,-0.009270425974027368,0.05672699592647075,-0.04080265111261512,-0.1106734682835714,0.16880068532885986,-0.03246571049256248,-0.03204297628518276,0.256423744307004,0.05044822218340717,0.06995045965306439,-0.3232764554649562,-0.22038359003780567,-0.08883489705353613,-0.27031996559718396,0.2117223217588105,-0.0015266570937234594,0.33211660694490697,-0.01468016856724835,-0.40231015042078794,-0.25006070124402263,0.32894570640728493,-0.11214975158059358,0.22932720940851314,0.26354979948096074,-0.027809342476779915,-0.03986377820611271,0.11266202556400562
Diet low in fruits,-0.23489273655499668,-0.07970193926504689,-0.049931398279490294,-0.09504898381948387,-0.057616413692455334,0.1695559623700073,0.0039147785137009184,-0.20228434627585995,0.15693062771970645,-0.05171363044965585,0.5442992270573568,-0.008463693686598625,-0.23703076594071756,0.1562515636561646,-0.08037696299557627,-0.1285378985491681,-0.2553757493526187,-0.015534764225656006,0.16671259363793525,-0.17035415358357214,-0.0321776687432907,0.4608393694863907,-0.09725471689849911,0.1434117862518959,0.06611606059386195,0.1472613447116074,0.005303065511007056,-0.16629541774703832,-0.08533465376685573
Diet low in vegetables,0.24819246769074707,-0.03487490399888567,-0.020385358727311165,-0.46486057607507497,-0.01829138649125862,0.10678547504994608,0.02169743064991154,-0.10161873562644391,-0.23392865822971617,0.12225150811652485,-0.26957552252070593,-0.0008368891446765112,-0.06331468463234023,0.6231410074885264,0.013343015520116817,-0.036726833719480746,-0.044838619594098225,-0.0076166673141417375,-0.12051595802203358,-0.0072048828078448085,-0.20917523432262164,0.07609063515316539,0.15301523368926212,-0.029578679337645568,-0.0052491903165732415,0.15783501497245248,0.15159603126399548,-0.09354304543145511,0.12169692797473752
Unsafe sex,-0.17790465046583506,-0.24180938127816537,-0.010895433483222802,-0.10081773922380044,-0.10624056911934758,-0.4766179832680531,0.1333953067631394,0.4030802433463845,0.42573996091522026,-0.09671044457378203,0.06978714855526609,0.03462950845879247,0.0808629345843682,0.195993604564541,0.0017269044832264537,0.029293079533845523,-0.07502766352490871,-0.00296237523244668,-0.29711584731482105,-0.02262147354790728,-0.24214888315773778,-0.06547722425353174,0.06661940644441637,0.23967486557998877,0.04629837790123405,0.03702614855867364,-0.04944565715743096,0.07427368032476234,0.08761441874671175
Low physical activity,0.16521689101398368,0.20821656813800019,0.11411970802256004,-0.12174418264130532,-0.18503478367729517,0.0285122059249473,0.06631796943018181,0.030864239986361404,0.4307648936734144,0.026202378246006085,0.00545403350568777,-0.09297716144014258,-0.15766790473664655,0.15517293332851503,-0.04613869964216258,-0.10229482178291144,-0.1467588702696853,0.0029111876639400245,0.3894668877119291,0.06858438299556452,0.03454794412636339,-0.3723673408128041,-0.13672345394607036,-0.00299743468319778,-0.24734088349789946,-0.25239162233879336,0.34371269291751666,0.006691328135260513,-0.15843638197122764
High fasting plasma glucose,-0.15869384526233954,0.05230805381318552,0.13244361544482947,0.1795639359128637,0.12542934309842216,-0.16703477123873586,0.07530570797876027,0.2176728425418635,-0.09052756028236866,-0.0006244317868355947,-0.12770386524696667,-0.0598277352851894,-0.1339063393141654,0.3243703224131398,0.057532734648643134,0.2339944882281052,-0.17038853952058264,-0.007869623977665842,0.2096033795329054,-0.17390067320790176,0.2665092552307024,-0.21412038041846623,-0.20311262600712732,-0.24120520725735278,0.21665759427227438,0.2971740742331482,-0.2243641303978093,-0.29945878701426976,-0.1465263062984008
High total cholesterol,0.2625927000104969,-0.08258874546167429,0.13102582380388886,-0.2529644670382755,0.06333485472420865,-0.28306458842628085,0.04528108535577908,0.24207248141340523,-0.010865387534722456,0.04653320433754327,0.13009717682657831,0.03701630293727692,-0.0342356278374297,-0.1711886610136106,0.0024640557574539886,-0.14040554718935114,0.40807396025932,0.0051278495353761465,-0.016023135173301582,0.057255143816399456,0.053285879878496326,0.30817914482555114,-0.41144554216217677,-0.29817052599671673,-0.052301043186413265,0.0830304544140436,0.19908721452290634,-0.22032752195825217,-0.06000792691864112
High body-mass index,-0.18754587704755632,0.18657630782957543,0.08276393685340075,-0.007710332030345864,0.09856277399727349,0.009039949104002408,0.33839478028130515,-0.20023542373578399,-0.06785554463540389,-0.5386080985068364,-0.09216935452548404,-0.08238502268971805,0.39376486777712805,-0.029042969243826284,-0.02220730348118209,-0.09126217622295033,0.07050570950096369,-0.003074929420759086,0.1487141097211493,-0.043889142695064526,-0.24259514588830805,-0.07006841389666621,-0.1830609191734326,0.07773532682805956,0.08576546636023662,0.11310095027401254,0.21949184898535548,-0.1809125883146282,0.22496857552961308
High systolic blood pressure,0.0001961561900425058,0.20656303752974875,-0.21185595468999183,-0.16477081386118225,-0.04674350918087664,0.18929595523534423,-0.3512613983013103,-0.026047706249009088,0.33346423637403083,-0.1849493460959894,0.1949264179251126,0.0479132003415455,0.21717739062204086,0.04817081664450381,-0.02036222263937237,-0.04169690212151393,0.31731688844525213,-0.003978572799498817,-0.18934037407129392,-0.15756855301551242,0.1096517978828391,-0.24833362706132148,0.2573790189807684,-0.24357567781158085,0.08185007209081846,0.24900831763408648,-0.038298127622513986,-0.17885969611311467,-0.1518889259832498
Smoking,-0.06795508921881294,-0.06941371480450335,0.2766952760947327,0.02491470531365711,0.016729583802074097,0.12870811169870228,0.2533607274970083,-0.400578293148836,0.20103536566108174,0.1686184864076765,0.047526960261404044,0.11916162276280833,-0.2010757099867879,-0.07663655642423699,-0.038480605009952394,0.477699126807552,0.1270666840735085,-0.00010634203378841694,-0.4032232132434085,0.09376771323434137,-0.14277086460435917,-0.15024566027655975,-0.10943964956013834,-0.037227770386021194,0.01529829031732923,-0.03126719780281702,0.08048268265758375,-0.23060265060229002,-0.07668616639562051
Iron deficiency,-0.004412228777743181,-0.047075490288059726,0.0934765573500657,0.12563503098730416,-0.7145260139833066,0.4258167781143166,0.0021646769884639955,0.38097705052316144,-0.13842933325230186,-0.1446847862746752,-0.0513563036828493,0.009957764989945,-0.07488151279040124,-0.043440353309813225,-0.01546164300071717,0.11162051475132638,0.06755224996159265,-0.0005146791747677207,-0.05094279868384326,0.01955521804502181,-0.12529872929383784,0.03410258625750778,-0.1458442482428272,-0.020758936957951765,0.10971712673689368,0.10406260847195703,0.04482983472172408,0.004637143451531414,0.04688149509026097
Vitamin A deficiency,0.04607570468985128,-0.0068180570769087985,-0.05149917180369474,0.07714534234266923,0.10386597321650085,-0.06331066343858996,-0.04658161819318206,-0.008002436281203788,-0.12242207433885072,-0.20617190232829055,0.027532909720551745,0.013917081437292473,0.037487331731503606,0.10744079669961004,-0.00010292172647550378,0.17354821350595856,0.07009719175049293,-0.0015406188058143696,0.10950413263086331,0.24975157945835894,-0.37922415973311674,0.07580687220289005,0.001816413018053136,-0.0060212517311738645,0.05102124873274741,0.12318211615170364,0.05204134079878458,0.29816164485136654,-0.7296692820336689
Low bone mineral density,0.09345166773879576,-0.058551691222280225,-0.11937780740807975,0.12243760712267629,0.07051342661947906,-0.04154618883487822,-0.37566484493546415,0.16705603220383403,-0.009482291404765085,0.10667122872080181,-0.020917284573051687,-0.020214761691136833,0.16566159507052222,-0.11621362782186234,0.013515069379289925,0.321140651808378,-0.12700398838948584,-5.596028021953717e-05,0.223680394930635,0.09480825648736294,-0.2956955241648139,0.09256028068137602,0.14894797005470872,0.16263565234558675,-0.07295591237197051,-0.12003357562954763,0.15933804415367214,-0.5982093040343779,0.05936330727068061
Air pollution,0.0321334651842192,-0.16753859720367947,0.17908202153678304,0.19288444910295183,0.22655347969934186,-0.032242923583615184,-0.3777155486970439,0.002699528774570887,0.020847993206841994,-0.48777999293876384,-0.024714796149749824,-0.0031920477358855412,-0.4989678292141296,0.0669045142415433,0.007109957900144961,-0.000192833080161243,0.02972498054573338,-0.0006107164238083826,-0.08514231925893052,0.11001256588233412,0.06348751182481403,-0.026375730730451755,0.0924829758831724,-0.05719265690017729,0.07050089662113491,0.019359240242608305,0.3126081678221627,0.101768458816875,0.2527611285536751
Outdoor air pollution,-0.17475703801509368,-0.3273089527540891,0.7206968305789565,-0.13222446271218366,-0.015715462219819648,0.09534947360036647,-0.27153590777196585,-0.06298021012448356,0.02986446420329702,0.07357322537545286,-0.03505705046495671,-0.023151223285838466,0.3150311578645046,0.0262135450958864,-0.04435772353937313,-0.22655019724549105,-0.012925003010846554,0.00029610566327361546,0.11553971970442514,0.13284382147387472,0.016660464108462305,-0.035081305393849446,0.09540389333075279,-0.010877665757374503,0.025755879449896827,-0.015868861057470637,-0.15464604846361873,-0.024345521642113774,-0.09896839923905482
