Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Bermuda,-1.2677386406040287,0.03919327995853143,0.044477018223688075,0.012370884934418572,-0.033576711568087406,0.0005220066859601131,-0.006336715974530013,0.00029646499323615334,-0.0037514555600275104,0.0014320854334618069,-0.0005657648275879866,4.4648088770338346e-05,-0.001346405273693619,0.0006611112607482668,0.0005504585704241637,3.2140315926025386e-05,-0.0004476090504436059,0.00015399780371217652,-0.00024637178763706484,-4.505218089863801e-06,9.866088190310598e-05,5.824653429367406e-05,0.00016765994881100209,8.973147706980084e-07,2.778532932140408e-05,-4.5397534392409826e-05,-3.187663597458851e-05,3.914190867464858e-05,-2.0936493100305187e-05
Bhutan,-1.2639130140612476,0.03915379420067655,0.0452826956597337,0.012456597991973422,-0.03368135072490086,0.0011679741176864788,-0.006511863549608002,-0.0003280676920253615,-0.0036590565939963304,0.001494797919846347,0.00025800846200558846,-0.0003772551071107342,-0.0008297795739376545,0.0008203252179528925,0.001102526527442602,-0.00022711400888755329,-0.0006670157144339919,0.00033293963258891195,-6.61779205288028e-05,-0.00018349956242220625,-0.00022204839138019157,-7.572444074713696e-05,0.0002559219167038603,0.0002491017363381375,-1.2668923462631638e-05,-0.0002725880868061511,-1.6997036442573677e-05,0.00024717050707985603,6.287668749042034e-06
Bolivia,-1.2107021758255863,0.03740400818418877,0.03756659917469004,0.002693534845401465,-0.03212855446763616,0.008700178764899182,-0.004737564610624172,-0.015169528625571149,0.00032248424148258577,0.0015902919123434987,0.009301602718298956,-0.0018983928224134464,0.006908428321448759,0.00017790663819567727,0.006314927979109726,-0.001180641596668554,-0.0007471258640084269,0.0053309651692336705,0.003616446018578717,-0.0014267504048020411,-0.0002920706714282231,-0.0003401164426625117,0.005485112545107015,-0.0018096709692215056,0.00028909753617230993,-0.0008989180004426445,-0.00013234279867323063,-0.0019361433717029791,-4.413432794216845e-05
Bosnia and Herzegovina,-1.2306580584889988,0.013681832615183975,0.04763457263649626,0.00441522507070225,-0.0384207540078726,0.0025469678533711062,0.002039107530355878,-0.001601037278598548,0.000557085916699246,-0.003499840629196884,-0.002106514051152108,0.0030182313688561224,-0.005129762117832471,-0.007108255039455926,-0.004292319565975177,-0.0027076976681196913,0.0005104030079478869,0.0037933907434030143,-0.0026817575005975126,0.0018018659444401187,0.0013082322682986286,0.0008871789655790283,-0.0013810077246736727,-0.00024150812363163258,-0.00038885188497396976,-0.00029275628684020315,0.00037344011820066226,-0.00040215937591494,-0.00045233635209461156
Botswana,-1.2458329927393106,0.04949859449309088,0.021147040168146388,0.008820403973521842,-0.037370680815578754,0.032371754012783804,-0.012196919460290263,0.004510031698181436,-0.005871110613053246,0.0052236192665041,0.005858588232745181,-0.003352802699641595,-0.003748790417001561,0.0013228712837258935,-0.003756750158957718,-0.0005078612668584683,0.001378856212266079,-0.0005998690024981672,-0.0009694828212898103,0.0008043892227774959,-1.3740321768138827e-05,0.0013237119604951387,3.385430265476333e-05,-5.6571060269229505e-05,-0.00028509515207792113,-0.00030421590345398007,0.00011982658528149985,0.00015438200864936275,3.3025338000191048e-06
Brazil,-0.18179176778232134,-0.42136342960145967,-0.07407180960311759,-0.2597773879793158,0.007179205863725779,0.12297611456223903,0.015706215531081168,-0.024831265755829907,-0.0030534343666503956,-0.022796800861146358,-0.0352439331454354,-0.0015482890637405536,0.16601942276634793,0.0424728723029453,-0.028588210537460503,0.07678184506839794,0.04440603787924937,-0.06128793464075794,-0.04219421244001542,-0.04962147794358648,0.0002206732838710993,-0.01604652108619246,-0.02069915762678686,0.00899966872066404,-0.01900192040404853,0.00573563739764216,-0.0007522182795916329,0.004921018228110754,0.001610232211412762
Brunei,-1.2667344495084658,0.03856121466253363,0.04437871302050351,0.012117818988695633,-0.033603102228132446,0.0005068969084917354,-0.0063717338003730075,-4.6190611140325334e-05,-0.003614801528484422,0.0012988189416125008,-0.00039921877900619794,-6.861193313678358e-05,-0.001629826339175946,0.0008764498117938758,0.0005480311965214376,0.00010071238969059932,-0.0005543542122025434,0.00031440487619204487,-0.00017823258584178492,5.0269533384976136e-05,4.311256947627215e-05,1.5941729561609474e-05,9.414675548421915e-05,-8.162381797699153e-05,3.168989710167441e-05,-3.1540061755993506e-06,0.00013151834995990926,3.4990273487316387e-05,-1.3176169608372791e-05
Bulgaria,-1.1590543843701913,-0.03974869302533316,0.052443971610282164,-0.021877632167920182,-0.06156882017397601,-0.0014131504794113166,0.02528200085534057,0.002541260425774491,-0.0015039547766463506,-0.005865673491549865,0.007578974288963018,0.0005625103470573253,-0.019986632947839228,-0.009742941450139448,-0.011140221967327836,0.0024170055080168893,-0.004601692680566008,0.0025127161181881614,0.005967503648802362,-0.006151367323205213,-0.0070208557755103524,0.0017115492653601832,0.0020228343011205485,0.003814118508669053,-0.0008680887129077781,0.0047047788128626354,-0.005566211303310803,0.0017580822608412592,-0.0004818717754982536
Burkina Faso,-0.9675981160290592,0.32198135416293194,0.038175481447488294,0.04785891425584113,-0.026069751775404347,-0.06815146737502045,0.006847615693319327,0.0022700667536620063,0.030822224312640905,-0.015914864894466765,-0.02044042487185151,0.024842396889151887,0.0030610204894809248,-0.01003195521711311,0.00997487531602735,-0.007268159566635476,0.002282447270805479,-0.0029733603164122753,0.023940845833487056,-0.02888449906889404,0.01865398367467454,-0.0518971190490999,0.00625056284682895,-0.011108921144213264,-0.005077143435697264,-0.006913353984577157,-0.0026581817414018014,-0.009020364419539248,0.0004181978093265758
Burundi,-1.136674716134312,0.15056681965821264,0.036787074571389466,0.02606987308775913,-0.03287658801220116,-0.009720735394921543,-0.0012205622565272384,0.020635745725072242,0.020329296417548076,-0.006228550288811374,-0.01864355166098284,0.008828002387640473,0.0033242291125363363,-0.016358478788889904,0.028072499353471954,0.01146473715850279,0.0028377805970333033,0.00926707922362802,-0.002019043502892366,-0.0018581248608831686,-0.004601863298056645,0.021631495053687146,-0.0021277111098409116,-0.006238891887811433,-0.009442179932685063,-0.005579070736196572,-0.0022775800184312673,-0.001940028143993809,-0.0002506096974512344
