Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Philippines,5.1557623158278974e-05,2.4985397470200257e-06,8.140426397851382e-06,6.578735154970887e-06,0.0003150941980721053,5.015203447042981e-07,0.0005545468363162986,0.010495530940449627,0.0021132406843932727,0.0004451077601672832,0.006092495655174167,0.008264824842409441,0.0005415807747193092,0.005565289732389093,0.009508512289407347,0.00489329623831983,0.011880595283443011,0.008925740539320258,0.017309180440155097,0.0002472240860140717,0.00434645539304007,0.06321680744909026,0.05870057353314818,0.04639707397215622,0.11805740537258919,0.001145075601273638,0.0021421520587459938,0.022173411413909383,0.0009112009531588353
Poland,0.00014701465636912675,5.7421067095776334e-05,8.50606968534679e-05,0.00021931817367739883,0.00016567417297675677,2.4975788682590482e-05,0.0002107446794999374,4.419737695209316e-05,1.554284840167677e-07,0.0013950965741482786,2.4603528741357096e-05,5.816880011207289e-05,4.883026236733596e-05,0.0009572934336602733,0.0006122849757110987,4.8204741019733145e-05,0.00038454380222068283,5.9657508402556926e-05,0.0010957155893027877,0.00017861912000619726,0.009096224658705389,0.0001318548127278481,0.01478574632575438,0.0019251965982032015,0.007751833470645356,0.005205472685710537,0.001675788686469598,0.05375771570978511,0.007365607559268689
Portugal,0.00024914935931553023,1.4788467443520162e-07,2.6931466991122987e-05,3.279659132816686e-06,2.1825524475883295e-05,1.1930312770035095e-05,6.423663995997729e-06,2.794249614081653e-05,7.453679720797283e-07,8.979857393430283e-05,0.00014778319071440517,4.32021996210355e-05,0.00015980422326060677,0.00048724151951801934,6.712118267429505e-06,7.024026504930346e-05,0.0001918473521574379,0.0012032380976605718,0.00036065934192113723,0.0019627478556813183,0.0005981818011458302,1.584336903735681e-08,0.0018600948730548782,9.507295926738627e-05,0.0014693162157322557,0.00014360095427321987,0.003914485700511778,0.0019947799404139667,0.0017245983039627679
Puerto Rico,0.00027032325535069517,8.031296657243204e-07,2.5922069709508663e-05,1.879242513769868e-09,2.2183187246447115e-05,7.579412936669036e-07,1.983032119579713e-06,9.117695764044877e-08,1.6924408034434745e-06,6.749981162100376e-10,7.141613218468627e-07,4.240643853221913e-05,1.350658872609996e-07,4.206757447202237e-07,3.470333712636223e-06,2.5675547922743507e-05,9.476920345923914e-08,6.919737949910489e-05,6.179080034043632e-05,7.722739480829676e-07,5.59664623863611e-05,1.6864438584220716e-05,0.0003151107671115438,2.1940948146738832e-05,4.475807373482298e-05,3.1572223856702945e-05,0.0006639667414337034,0.0003941384014890321,0.00011621046772564728
Qatar,0.00027906974883381376,1.852735130161107e-06,2.85518214136063e-05,2.168690216407288e-06,3.2111600950494355e-05,9.399894804133493e-10,4.399117114016489e-06,1.760367856218726e-09,6.5303886261943485e-06,1.303943126099569e-06,1.4092490713792534e-08,1.8394314959249226e-06,2.182524221976306e-06,6.653998519933695e-08,8.760915786354794e-07,4.2038536158018504e-07,1.4945377051998152e-06,1.4438481236568823e-06,3.3102572559209628e-06,4.6798859605764153e-07,5.462786141365301e-08,3.2650333919690113e-07,2.8618652773560408e-05,1.3864574446136535e-06,1.799227125225782e-06,2.5214331539698617e-07,1.0929229049429472e-06,3.919131354079884e-06,1.7843177696460416e-05
Romania,0.00017918004008036343,2.5807831326009356e-05,2.585595699373275e-05,6.825070300649738e-05,0.00018783510658043964,6.79300313025705e-06,0.0003727863718208652,0.0007097118308126929,3.412361874622429e-05,1.645388960648473e-05,0.0008517632018488925,0.00024706702702370354,0.0009768587829550677,0.010630084299445404,0.001386213438700813,0.0004127815407777635,0.0051178019046189075,0.0033004208339189657,0.00025522370059831244,0.00011072626394479931,6.754250147030052e-05,0.00028887395285676456,0.001840909035175538,0.02711479282579506,3.830347750815502e-05,6.648461910174416e-06,0.058470076742748525,0.008723779240855883,0.012568607515937939
Russia,0.00010032244084721819,0.0025989267093860734,0.00028259839243499884,0.017822588607435734,0.0038513870535416884,2.135940901608501e-05,0.01831446995068268,0.010962965179842186,0.008952304893147096,0.021748874839867996,0.018772884625923927,0.021742029129885935,0.001017602604059029,0.02367206227657831,0.007097583386042952,6.82336331986703e-05,0.02182792670554403,0.01921908402798345,0.02563426646877244,0.008129621864278541,0.010944523339618921,0.0007220392444906951,0.056621792211899134,0.0016397464602060587,0.015215929848462715,0.0025001294865185453,0.013307912798940218,0.025901991697404092,0.022359568563402737
Rwanda,0.00024276183129146283,1.4249062627214873e-05,2.5756995757290312e-05,8.397973411675908e-06,2.3331331672286343e-05,1.4633289385869241e-05,1.534149291570353e-05,1.729873278170093e-05,3.148195143660417e-05,1.8234047531595889e-07,5.8187393330073465e-06,2.0327199946564392e-05,1.3463606606618577e-05,0.0004951081684845016,0.0005683109771313093,0.0010972664862944263,1.2509100243182502e-05,4.796609403105515e-05,4.7337265834993516e-07,5.171653701401818e-05,0.0010038835753472313,0.003504853370834742,0.0001953883584018405,0.0025666573246942324,3.4585839301851226e-06,0.00020211322333316592,0.0010165060122872588,0.0006913410282024874,1.3242482570519816e-06
Saint Lucia,0.0002799356622185073,1.9846201076962312e-06,2.8546179146893708e-05,2.5415614316262656e-06,3.255619829714136e-05,3.324683589402651e-08,3.7106584008755697e-06,6.332475285100368e-09,4.637746539260254e-06,8.502665937799516e-07,1.8949839727928596e-07,2.2825311733952676e-08,2.9420301618676717e-06,1.2108985682103162e-06,1.3099299075975922e-06,1.7830484950945728e-09,1.412620916922136e-06,5.714171302114725e-07,5.020252782851131e-07,1.3056863371003898e-07,7.064849800666069e-08,1.75618270587523e-07,3.1432811349427337e-06,3.803969271987723e-07,5.952885510560419e-08,4.0198244688994376e-09,3.1022106407101564e-07,4.806341197491741e-07,1.0080488859772053e-06
Saint Vincent and the Grenadines,0.00027997442528902475,1.9975208728474953e-06,2.8521558704876065e-05,2.5417772798962454e-06,3.273647391894599e-05,4.101633812574832e-08,3.7193101987941396e-06,4.449730372645317e-09,4.641649765359373e-06,8.956654341254924e-07,1.6433358351611416e-07,1.3071499399870557e-08,3.3359645626074165e-06,1.4140601951573765e-06,1.3451508385120715e-06,9.648845858181476e-11,1.348997116185124e-06,3.754350302034745e-07,4.849997027487968e-07,6.783745773127666e-09,1.9873223197306817e-07,2.2376471070439172e-07,2.3137418995818e-06,2.037196924429187e-07,5.342221821139174e-08,6.76526227098599e-08,7.5857031432368e-09,4.944275704945034e-07,5.707621860710483e-07
