Țară/Regiune,Factor 1,Factor 2
Israel,-0.30034646969977663,-0.06335665477464192
Italy,-1.7414638350983853,1.1836272186195524
Jamaica,-0.3463339714126183,-0.026855683321515833
Japan,-0.8145730542357931,0.3234123122204026
Jordan,0.18508731908059747,-0.27672488030893233
Kazakhstan,-0.8575456025821823,0.17788234097879194
Kenya,-2.5878090291487577,3.173875583565624
Kiribati,-0.21875606699882066,-0.15330580196016513
Kuwait,-0.18041697757200506,-0.15167358310543047
Kyrgyzstan,-0.14197684381628128,-0.2143857661078292
Laos,-0.5429247222324489,-0.12253547463997186
Latin America and Caribbean,-1.8127823012554984,1.165121910045788
Latvia,-0.2865929991098413,-0.06426336450059458
Lebanon,-0.30942026201068445,-0.07369239764222003
Lesotho,-0.2579184651869082,-0.0013877698869845904
Liberia,-0.5334702954724532,0.2081465094813878
Libya,-0.0814438197103724,-0.059190149986482525
Lithuania,-0.3667770827066204,-0.06600921824154145
Low SDI,-0.8856478869812876,6.254104986721172
Low-middle SDI,-1.097006969526755,5.1632295100263
Luxembourg,-0.21301364720734783,-0.14708286186345593
Madagascar,1.8164328328606434,-1.5228149126106507
Malawi,-0.586790243765645,0.040932136986504136
Malaysia,0.18242195102793993,0.3993332454789897
Maldives,-0.2062965817604036,-0.14408353431152204
Mali,2.4407011419390163,-3.2271905913223313
Malta,-0.24055370471129175,-0.13004359332158696
Marshall Islands,-0.21126059254839283,-0.14631901355657786
Mauritania,-0.30417876121601334,0.0683414956428514
Mauritius,-0.3595757359644196,0.026544276635565047
Mexico,-2.330129306721871,0.5095039596138148
Micronesia (country),-0.2218971259259933,-0.14069350487697663
Middle SDI,3.99663183028236,0.0484624898662901
Moldova,0.43044399748755047,-0.3677101765299617
Mongolia,0.07974339655405936,-0.25658638669064726
Montenegro,-0.170464031218615,-0.16334421436515986
Morocco,-0.8253822581210034,1.0897838251778489
Mozambique,-0.48497256424845053,-0.15048177938681373
Myanmar,-0.46437813214954493,-0.6302738308378023
Namibia,-0.09375919475735137,-0.2852016092528335
Nepal,-0.5649828781938974,-0.6627293919500269
Netherlands,1.0335734694702314,-0.7660824414225922
New Zealand,-0.5391088139206114,0.014616060018267521
Nicaragua,-0.2071976511248129,-0.10796185553315905
Niger,-0.45779942622537484,-0.16602432144555623
Nigeria,0.3963623728542545,1.1242657233611628
North Africa and Middle East,2.8241018758248955,-1.9478671190070727
North America,0.5786099095791288,-0.559075000243612
